,District,Type,Population,Area sqmi,Under 5,5 to 17,18 to 24,25 to 44,45 to 64,Over 65,Male,Female,Total Families,Avg Residential Value,Liquor Licenses,Faith Orgs,Parks,Total A Offenses,Assault Offenses,Arson,Burglary,Criminal Damages,Locked Vehicle,Robbery,Sex Offense,Theft,Vehicle Theft,Homicide
0,20000,CensusTract,3411,0.54,312,518,309,993,806,473,1640,1771,802,179489.0,6,3,7,4405,320,5,269,470,743,140,42,2027,387,2
0,200400,CensusTract,0,0.08,0,0,0,0,0,0,0,0,0,0.0,0,0,0,7,2,0,0,0,0,0,0,5,0,0
0,201,CensusTract,5450,3.03,614,1370,590,1522,816,538,2480,2970,1211,96196.0,3,1,7,4036,1040,18,549,678,255,168,61,734,528,5
0,20100,CensusTract,3529,0.74,258,674,239,986,784,588,1598,1931,814,118799.0,9,1,5,2826,394,6,324,515,356,139,43,748,299,2
0,202,CensusTract,6101,3.04,534,1303,503,1868,1440,453,2869,3232,1577,161898.0,7,6,10,3490,593,16,495,559,515,112,60,721,418,1
0,20200,CensusTract,3024,0.37,224,547,244,933,741,335,1489,1535,759,113850.0,3,1,0,1525,158,7,247,281,222,56,18,385,150,1
0,20300,CensusTract,3773,0.56,311,742,299,1188,806,427,1849,1924,903,117520.0,4,2,1,2004,165,8,382,443,355,43,24,400,183,1
0,20400,CensusTract,3216,0.19,339,744,333,1033,579,188,1586,1630,729,102296.0,9,4,0,2161,283,8,310,457,253,123,29,455,238,5
0,20500,CensusTract,2921,0.18,300,613,292,968,519,229,1479,1442,673,100025.0,5,1,0,1707,217,14,260,392,178,85,20,349,190,2
0,20600,CensusTract,3525,0.51,207,474,241,1166,1005,432,1735,1790,857,150587.0,7,3,2,1366,139,4,220,229,266,31,16,358,102,1
0,20700,CensusTract,4311,0.69,293,520,283,1480,1203,532,2128,2183,1112,152096.0,6,4,2,1499,156,3,247,371,253,35,24,315,94,1
