District,Type,Population,Area sqmi,18 to 24,Male,Liquor Licenses,Faith Orgs,Parks,Avg Residential Value,Total A Offenses
16800,CensusTract,3450,0.2,0.123478261,0.529275362,0.003478261,0.00057971,0,55875,4500
16900,CensusTract,4130,0.18,0.111622276,0.507021792,0.001937046,0.000484262,0.000242131,57178,3622
17000,CensusTract,6112,0.27,0.114365183,0.514397906,0.00065445,0.00065445,0,82328,3660
17100,CensusTract,2937,0.26,0.103847463,0.506979911,0.002383384,0.00102145,0.00102145,91476,2137
17200,CensusTract,2509,0.18,0.09565564,0.509764847,0.002789956,0.000398565,0.000398565,87163,1539
17300,CensusTract,3894,0.2,0.11633282,0.519003595,0.001540832,0.000770416,0.000256805,78923,2660
17400,CensusTract,2953,0.13,0.126312225,0.530308161,0.004063664,0.000338639,0,58923,2754
17500,CensusTract,4185,0.19,0.122102748,0.511111111,0.002150538,0.001433692,0.000238949,68194,3970
17600,CensusTract,3195,0.18,0.117370892,0.507355243,0.001564945,0.000938967,0.000312989,73986,2656
17900,CensusTract,3003,0.24,0.112554113,0.529470529,0.007326007,0.000666001,0.000333,174361,2125
18000,CensusTract,2749,1.12,0.102946526,0.506365951,0.009457985,0.000363769,0.002546381,178801,2088
18100,CensusTract,1637,0.21,0.051313378,0.497251069,0.004276115,0.001832621,0.001832621,205438,641
18200,CensusTract,1608,0.22,0.048507463,0.487562189,0.003109453,0,0.001243781,245264,551
18300,CensusTract,2344,0.26,0.090017065,0.494027304,0.002559727,0.000426621,0.000426621,182829,1282
18400,CensusTract,1404,0.28,0.069088319,0.495014245,0.002849003,0,0.000712251,171112,1233
18500,CensusTract,1633,0.72,0.074096754,0.515615432,0.002449479,0.00061237,0.003061849,139674,1842
18600,CensusTract,3000,0.18,0.101333333,0.521666667,0.001333333,0.000666667,0.002333333,78702,2173
18700,CensusTract,3876,0.19,0.108359133,0.495098039,0.001031992,0.000257998,0.002063983,87863,2535
18800,CensusTract,2066,0.36,0.119554695,0.508712488,0.001452081,0.000484027,0.000484027,75138,1533
18900,CensusTract,1635,0.24,0.105810398,0.491743119,0.001834862,0.003058104,0,106558,1283
19000,CensusTract,4545,0.97,0.077667767,0.489108911,0,0.000220022,0.001540154,145966,2077
19100,CensusTract,3584,0.61,0.133091518,0.437220982,0.001395089,0.001395089,0,190646,1681
19200,CensusTract,3186,0.54,0.069993723,0.494036409,0.00094162,0.000313873,0.000627746,137386,935
19300,CensusTract,2557,0.35,0.066875244,0.48220571,0.000391083,0,0.000391083,130117,633
19400,CensusTract,3732,0.5,0.071543408,0.466237942,0.00187567,0.000535906,0.000267953,192462,981
19500,CensusTract,3350,0.5,0.068656716,0.479701493,0.000298507,0.000298507,0.000298507,160634,601
19600,CensusTract,3616,0.5,0.061117257,0.472621681,0.000553097,0.000553097,0.001382743,168075,990
19700,CensusTract,5344,0.73,0.087761976,0.481287425,0.000561377,0.000374251,0.000561377,187885,1213
19800,CensusTract,4913,0.79,0.07022186,0.473844901,0.00122125,0.000610625,0.000407083,137005,1721
19900,CensusTract,3479,0.39,0.070709974,0.497556769,0.001149756,0.000287439,0.000287439,133677,931
20000,CensusTract,3411,0.54,0.09058927,0.48079742,0.001759015,0.000879507,0.002052184,179489,4405
20100,CensusTract,3529,0.74,0.067724568,0.452819496,0.002550298,0.000283366,0.001416832,118799,2826
20200,CensusTract,3024,0.37,0.080687831,0.49239418,0.000992063,0.000330688,0,113850,1525
20300,CensusTract,3773,0.56,0.079247283,0.490060959,0.001060164,0.000530082,0.000265041,117520,2004
20400,CensusTract,3216,0.19,0.103544776,0.493159204,0.002798507,0.001243781,0,102296,2161
20500,CensusTract,2921,0.18,0.099965765,0.506333447,0.001711743,0.000342349,0,100025,1707
20600,CensusTract,3525,0.51,0.068368794,0.492198582,0.001985816,0.000851064,0.000567376,150587,1366
20700,CensusTract,4311,0.69,0.065646022,0.49362097,0.001391788,0.000927859,0.000463929,152096,1499
20800,CensusTract,3009,0.34,0.069458292,0.48554337,0.001661682,0.000664673,0.000997009,198569,791
20900,CensusTract,2553,0.39,0.073638856,0.493928711,0.002741872,0.000783392,0,147573,788
21000,CensusTract,2189,0.5,0.072635907,0.498857926,0.001370489,0,0,142285,593
21100,CensusTract,1364,0.25,0.063049853,0.491202346,0.004398827,0,0,127387,493
21200,CensusTract,2097,0.75,0.081068193,0.497377206,0.004291845,0.000476872,0,149959,913
21300,CensusTract,1631,0.49,0.076640098,0.443286327,0.000613121,0.000613121,0.001839362,212570,842
21400,CensusTract,3288,0.5,0.117396594,0.482055961,0.001824818,0,0,234874,1684
21500,CensusTract,2824,0.5,0.063739377,0.485481586,0.002124646,0,0,160195,740
21600,CensusTract,4365,1.43,0.073310424,0.503550974,0.002520046,0.00045819,0.000687285,142196,2485
21700,CensusTract,6142,4.88,0.072614783,0.49951156,0.002116574,0.00048844,0.000651254,150851,2920
21800,CensusTract,2223,0.34,0.077822762,0.488978857,0,0.000449843,0,171325,592
185400,CensusTract,1639,0.28,0.132397804,0.46918853,0.002440513,0.006101281,0.003660769,31167,3496
185500,CensusTract,1709,0.34,0.112931539,0.461088356,0.004095963,0.005266238,0.0046811,46709,3208
185600,CensusTract,1776,0.26,0.096846847,0.470157658,0.003378378,0.008445946,0,112132,3301
185700,CensusTract,2124,0.26,0.118173258,0.461864407,0.003766478,0.005178908,0.00047081,53002,3585
185800,CensusTract,1606,0.17,0.118929016,0.459526775,0.001867995,0.001867995,0,55596,1958
185900,CensusTract,1213,0.19,0.115416323,0.452596867,0.001648805,0.005770816,0.000824402,77744,1760
186000,CensusTract,1451,0.22,0.076498966,0.465196416,0.00275672,0.00206754,0.00068918,199399,1982
186100,CensusTract,2275,0.19,0.142417582,0.453186813,0.00043956,0.003956044,0.003076923,74022,2945
186200,CensusTract,1422,0.21,0.106891702,0.497890295,0.00140647,0.003516174,0.000703235,71823,2150
186300,CensusTract,3268,0.48,0.268053856,0.782129743,0.018665851,0.000611995,0.001529988,555243,7843
186400,CensusTract,1643,0.3,0.749239197,0.452221546,0.003043214,0.002434571,0,1339350,1111
186500,CensusTract,1667,0.45,0.133173365,0.571685663,0.038992202,0.0029994,0.00179964,96878,5106
186600,CensusTract,2152,0.4,0.119888476,0.503717472,0.002788104,0,0.005111524,71532,2022
186800,CensusTract,1614,2.22,0.089219331,0.597273854,0.004956629,0,0.003097893,406457,3083
186900,CensusTract,2213,0.18,0.108901943,0.450067781,0.001355626,0,0.004518753,464347,665
187000,CensusTract,3288,0.14,0.220498783,0.498783455,0.005778589,0.000608273,0.001216545,506484,2446
187400,CensusTract,2341,0.68,0.205040581,0.537377189,0.036736437,0,0,433616,5267
