District,Type,Population,Area (Sq. Mile),% Pop 18 to 24,% Male,Liquor Licenses/Sq. Mi.,Faith Orgs/Sq. Mi.,Parks/Sq. Mi.,Avg Residential Value,Total Offenses
18000,CensusTract,-0.088452786,1.240749945,-0.29349239,0.560280202,0.002501229,-0.777938515,-0.030703002,0.069552161,-0.402604622
18100,CensusTract,-1.103870675,-0.464664755,-0.73021569,0.334991398,0.284303358,0.078951395,0.791836075,0.164888963,-1.490399651
18200,CensusTract,-1.130351897,-0.445923934,-0.75394867,0.09551532,-0.011061405,-0.835064557,0.26009339,0.307430671,-1.558057945
18300,CensusTract,-0.458276747,-0.370960651,-0.402852309,0.255310919,-0.001324148,-0.588983479,-0.276761927,0.083968824,-1.00852224
18400,CensusTract,-1.316633596,-0.333479009,-0.57987175,0.279704735,-0.246147693,-0.835064557,-0.30488262,0.04203237,-1.045358423
18500,CensusTract,-1.107523257,0.49111711,-0.537509424,0.788895834,-0.489271137,-0.746201893,0.0403804,-0.070487748,-0.587537294
18600,CensusTract,0.140746755,-0.520887218,-0.307137093,0.938461731,-0.025126602,-0.124163042,3.310225999,-0.288713355,-0.338705121
18700,CensusTract,0.940662286,-0.502146397,-0.247711498,0.281775837,-0.057697857,-0.498321819,3.639454902,-0.255925111,-0.066568424
18800,CensusTract,-0.71213122,-0.183552442,-0.153017238,0.618278596,-0.411913714,-0.657339306,-0.386121242,-0.30146931,-0.819830773
18900,CensusTract,-1.105696966,-0.408442292,-0.269269199,0.198853654,-0.295877571,0.497875127,-0.670455622,-0.189013616,-1.007770481
19000,CensusTract,1.551556681,0.959637632,-0.507305095,0.133745014,-0.643985992,-0.769104656,0.068227663,-0.047967976,-0.410873969
19100,CensusTract,0.674023776,0.28496808,-0.038520132,-1.148747668,-0.415718174,-0.310629383,-0.670455622,0.111946741,-0.708570466
19200,CensusTract,0.310591834,0.153782334,-0.572213666,0.255535964,-0.489271038,-0.716581104,-0.291343269,-0.078676756,-1.269382554
19300,CensusTract,-0.263776738,-0.202293263,-0.598590373,-0.036878576,-0.564418398,-0.835064557,-0.377997564,-0.10469332,-1.496413721
19400,CensusTract,0.809169322,0.07881905,-0.559106126,-0.431547356,-0.254104455,-0.579139987,-0.465734702,0.118446408,-1.234801648
19500,CensusTract,0.460347709,0.07881905,-0.583522333,-0.098774282,-0.58828872,-0.707102547,-0.465735141,0.004530436,-1.520470004
19600,CensusTract,0.703244434,0.07881905,-0.647292557,-0.273763095,-0.532591344,-0.579140299,0.353148101,0.031162608,-1.228035819
19700,CensusTract,2.281160002,0.509857931,-0.421926294,-0.059575451,-0.529539414,-0.659774093,-0.249796632,0.102064813,-1.060393599
19800,CensusTract,1.887594256,0.622302856,-0.570284038,-0.243529267,-0.43247699,-0.592098287,-0.411315529,-0.080040397,-0.678500113
19900,CensusTract,0.578143489,-0.127329979,-0.566155474,0.34254726,-0.35835843,-0.671010397,-0.407992987,-0.091951682,-1.27238959
20000,CensusTract,0.51604959,0.153782334,-0.398012487,-0.071686703,-0.334556211,-0.47961417,0.65643837,0.07201459,1.33922059
20100,CensusTract,0.623800769,0.528598751,-0.591406624,-0.763205588,-0.305285774,-0.748603725,0.021168714,-0.145201707,0.152193396
20200,CensusTract,0.162662249,-0.164811621,-0.481760801,0.214945662,-0.418186,-0.662142565,-0.670455622,-0.162914732,-0.825844844
20300,CensusTract,0.846608291,0.191263976,-0.493945239,0.157276395,-0.445066914,-0.606560683,-0.487669251,-0.149779392,-0.465752364
20400,CensusTract,0.337986201,-0.502146397,-0.288432275,0.233854447,0.675161766,0.511905958,-0.670455622,-0.20426779,-0.347726227
20500,CensusTract,0.068608254,-0.520887218,-0.318704252,0.559476814,0.12958864,-0.479613469,-0.670455622,-0.212395953,-0.689024737
20600,CensusTract,0.620148186,0.097559871,-0.585957634,0.210111147,-0.261749138,-0.458705044,-0.269042212,-0.0314289,-0.945374498
20700,CensusTract,1.337880615,0.434894647,-0.608987374,0.245267728,-0.40182364,-0.464159591,-0.373759122,-0.026028021,-0.845390573
20800,CensusTract,0.148965065,-0.221034084,-0.576742446,0.045616998,-0.234446495,-0.458704921,0.232724395,0.140304044,-1.377635826
20900,CensusTract,-0.267429321,-0.127329979,-0.541382415,0.252874036,-0.144137955,-0.506956366,-0.670455622,-0.042216343,-1.379891102
21000,CensusTract,-0.599814313,0.07881905,-0.549865555,0.374707424,-0.476893892,-0.835064557,-0.670455622,-0.061142687,-1.526484075
21100,CensusTract,-1.353159419,-0.389701471,-0.630946281,0.18548759,0.024382319,-0.835064557,-0.670455622,-0.114464295,-1.601659958
21200,CensusTract,-0.683823707,0.547339572,-0.478543625,0.338109074,-0.309801877,-0.749756368,-0.670455622,-0.033676583,-1.285921249
21300,CensusTract,-1.109349548,0.06007823,-0.515997321,-0.998833021,-0.587151932,-0.704490829,-0.043759422,0.190415189,-1.339296126
21400,CensusTract,0.403732683,0.07881905,-0.171270879,-0.040579861,-0.30980175,-0.835064557,-0.670455622,0.270243699,-0.70631519
21500,CensusTract,-0.019966868,0.07881905,-0.625114152,0.044089908,-0.309801821,-0.835064557,-0.670455622,0.002959206,-1.415975526
21600,CensusTract,1.387190476,1.821715392,-0.544160358,0.490703569,-0.429765365,-0.745580524,-0.455713596,-0.061461228,-0.104156366
21700,CensusTract,3.009850178,8.287298594,-0.550044226,0.390863028,-0.56979895,-0.795731931,-0.586553612,-0.030484015,0.222858726
21800,CensusTract,-0.568767363,-0.221034084,-0.505994117,0.130530523,-0.643985992,-0.646884652,-0.670455622,0.042794721,-1.527235833
185400,CensusTract,-1.102044384,-0.333479009,-0.044387701,-0.358618881,-0.246147633,1.449974782,1.522981646,-0.458846436,0.655871812
185500,CensusTract,-1.038124193,-0.221034084,-0.209037191,-0.558827564,-0.070630763,0.85855305,1.738024328,-0.40321988,0.439365269
185600,CensusTract,-0.976943439,-0.370960651,-0.345084673,-0.334665342,-0.00132423,2.856153023,-0.670455622,-0.169063646,0.50927884
185700,CensusTract,-0.659168776,-0.370960651,-0.164701703,-0.539646229,0.212896376,1.871828463,-0.276761606,-0.380696529,0.722778348
185800,CensusTract,-1.132178188,-0.539628038,-0.158309353,-0.597424521,-0.152538712,0.294013743,-0.670455622,-0.371412313,-0.50033327
